soc10 Occupation Name,F & O Probability,soc10,isco08,Class Level,ISCO Occupation Name,Sector ISIC,ID
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Agriculture - Personal Services Workers Not Elsewhere Classified,A,5A
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Mining - Personal Services Workers Not Elsewhere Classified,B,5B
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Manufacturing - Personal Services Workers Not Elsewhere Classified,C,5C
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Electricity - Personal Services Workers Not Elsewhere Classified,D,5D
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Water Supply - Personal Services Workers Not Elsewhere Classified,E,5E
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Information and Communication - Personal Services Workers Not Elsewhere Classified,J,5J
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Insurance - Personal Services Workers Not Elsewhere Classified,K,5K
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Construction - Personal Services Workers Not Elsewhere Classified,F,5F
First-Line Supervisors of Personal Service Workers,0.076,391021,5169,5,Personal Services Workers Not Elsewhere Classified,T,5T
Recreation Workers,0.0061,399032,5169,5,Personal Services Workers Not Elsewhere Classified,R,5R
Residential Advisors,0.064,399041,5169,5,Personal Services Workers Not Elsewhere Classified,L,5L
-,-,399099,5169,5,Personal Services Workers Not Elsewhere Classified,-,5-
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,419091,5211,5,Stall and Market Salespersons,G,5G
"Food Servers, No restaurant",0.86,353041,5212,5,Street Food Salespersons,G,5G
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,419091,5212,5,Street Food Salespersons,G,5G
General and Operations Managers,0.16,111021,5221,5,Shopkeepers,G,5G
First-Line Supervisors of Retail Sales Workers,0.28,411011,5222,5,Shop Supervisors,G,5G
Parts Salespersons,0.98,412022,5223,5,Shop Sales Assistants,G,5G
Retail Salespersons,0.92,412031,5223,5,Shop Sales Assistants,G,5G
"Cashiers, label 1",0.97,412011,5230,5,Cashiers and Ticket Clerks,G,5G
Gaming Change Persons and Booth Cashiers,0.83,412012,5230,5,Cashiers and Ticket Clerks,G,5G
Models,0.98,419012,5241,5,Fashion and Other Models,G,5G
Demonstrators and Product Promoters,0.51,419011,5242,5,Sales Demonstrators,G,5G
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,419091,5243,5,Door-to-door Salespersons,G,5G
Telemarketers,0.99,419041,5244,5,Contact Centre Salespersons,G,5G
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,531031,5245,5,Service Station Attendants,G,5G
Automotive and Watercraft Service Attendants,0.83,536031,5245,5,Service Station Attendants,G,5G
"Combined Food Preparation and Serving Workers, Including Fast Food",0.92,353021,5246,5,Food Service Counter Attendants,G,5G
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.96,353022,5246,5,Food Service Counter Attendants,G,5G
Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,359011,5246,5,Food Service Counter Attendants,G,5G
Counter and Rental Clerks,0.97,412021,5249,5,Sales Workers Not Elsewhere Classified,G,5G
-,-,419099,5249,5,Sales Workers Not Elsewhere Classified,G,5G
First-Line Supervisors of Personal Service Workers,0.076,391021,5311,5,Child Care Workers,Q,5Q
"Childcare Workers, label 0",0.084,399011,5311,5,Child Care Workers,Q,5Q
Teacher Assistants,0.56,259041,5312,5,Teachers’ Aides,P,5P
Psychiatric Aides,0.47,311013,5321,5,Health Care Assistants,Q,5Q
-,-,311014,5321,5,Health Care Assistants,Q,5Q
Home Health Aides,0.39,311011,5322,5,Home-based Personal Care Workers,Q,5Q
First-Line Supervisors of Personal Service Workers,0.076,391021,5322,5,Home-based Personal Care Workers,Q,5Q
Personal Care Aides,0.74,399021,5322,5,Home-based Personal Care Workers,Q,5Q
-,-,311015,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
Occupational Therapy Aides,0.27,312012,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
Physical Therapists Aides,0.61,312022,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
Dental Assistants,0.51,319091,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
Medical Equipment Preparers,0.78,319093,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
Pharmacy Aides,0.72,319095,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
-,-,319097,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
-,-,319099,5329,5,Personal Care Workers in Health Services Not Elsewhere Classified,Q,5Q
First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,331021,5411,5,Firefighters,O,5O
Firefighters,0.17,332011,5411,5,Firefighters,O,5O
First-Line Supervisors of Police Detectives,0.0044,331012,5412,5,Police Officers,O,5O
Police and Sheriff's Patrol Officers,0.098,333051,5412,5,Police Officers,O,5O
Transit and Railroad Police,0.57,333052,5412,5,Police Officers,O,5O
First-Line Supervisors of Correctional Officers,0.025,331011,5413,5,Prison Guards,O,5O
Correctional Officers and Jailors,0.6,333012,5413,5,Prison Guards,O,5O
-,-,331099,5414,5,Security Guards,O,5O
Gaming Surveillance Officers and Gaming Investigators,0.95,339031,5414,5,Security Guards,O,5O
Security Guards,0.84,339032,5414,5,Security Guards,O,5O
-,-,339093,5414,5,Security Guards,-,5-
-,-,331099,5419,5,Protective Services Not Elsewhere Classified,-,5-
Fish and Game Wardens,0.08,333031,5419,5,Protective Services Not Elsewhere Classified,O,5O
Parking Enforcement Workers,0.84,333041,5419,5,Protective Services Not Elsewhere Classified,O,5O
Animal Control Workers,0.21,339011,5419,5,Protective Services Not Elsewhere Classified,O,5O
Crossing Guards,0.49,339091,5419,5,Protective Services Not Elsewhere Classified,O,5O
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,339092,5419,5,Protective Services Not Elsewhere Classified,O,5O
-,-,339099,5419,5,Protective Services Not Elsewhere Classified,-,5-
"Police, Fire, and Ambulance Dispatchers",0.49,435031,5419,5,Protective Services Not Elsewhere Classified,O,5O
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Agriculture Retail,G,6G
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Agriculture Food Service,I,6I
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Agriculture Public Admin,O,6O
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Agriculture Education,P,6P
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Agriculture Recreation,R,6R
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,"Agriculture Trade Unions, Embalming",S,6S
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6111,6,Field Crop and Vegetable Growers,A,6A
-,-,452091,6111,6,Field Crop and Vegetable Growers,-,6-
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6112,6,Tree and Shrub Crop Growers,A,6A
-,-,452091,6112,6,Tree and Shrub Crop Growers,-,6-
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.57,371012,6113,6,Gardeners; Horticultural and Nursery Growers,N,6N
Tree Trimmers and Pruners,0.77,373013,6113,6,Gardeners; Horticultural and Nursery Growers,N,6N
-,-,452091,6113,6,Gardeners; Horticultural and Nursery Growers,-,6-
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6114,6,Mixed Crop Growers,A,6A
-,-,452091,6114,6,Mixed Crop Growers,-,6-
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6121,6,Livestock and Dairy Producers,C,6C
Animal Breeders,0.95,452021,6121,6,Livestock and Dairy Producers,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6122,6,Poultry Producers,C,6C
Animal Breeders,0.95,452021,6122,6,Poultry Producers,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6123,6,Apiarists and Seri culturists,C,6C
Animal Breeders,0.95,452021,6123,6,Apiarists and Seri culturists,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6129,6,Animal Producers Not Elsewhere Classified,C,6C
Animal Breeders,0.95,452021,6129,6,Animal Producers Not Elsewhere Classified,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6130,6,Mixed Crop and Animal Producers,C,6C
Animal Breeders,0.95,452021,6130,6,Mixed Crop and Animal Producers,A,6A
-,-,452091,6130,6,Mixed Crop and Animal Producers,-,6-
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6210,6,Forestry and Related Workers,A,6A
Forest and Conservation Workers,0.87,454011,6210,6,Forestry and Related Workers,A,6A
Fallers,0.76,454021,6210,6,Forestry and Related Workers,A,6A
Logging Equipment Operators,0.79,454022,6210,6,Forestry and Related Workers,A,6A
Log Graders and Scalers,0.97,454023,6210,6,Forestry and Related Workers,A,6A
-,-,454029,6210,6,Forestry and Related Workers,-,6-
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6221,6,Aquaculture Workers,C,6C
Animal Breeders,0.95,452021,6221,6,Aquaculture Workers,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6222,6,Inland and Coastal Waters Fishery Workers,C,6C
Fishers and Related Fishing Workers,0.83,453011,6222,6,Inland and Coastal Waters Fishery Workers,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6223,6,Deep-sea Fishery Workers,C,6C
Fishers and Related Fishing Workers,0.83,453011,6223,6,Deep-sea Fishery Workers,A,6A
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.57,451011,6224,6,Hunters and Trappers,C,6C
"Hunters and Trappers, label 0",0.77,453021,6224,6,Hunters and Trappers,A,6A
-,-,452092,6310,6,Subsistence Crop Farmers,-,6-
-,-,452093,6320,6,Subsistence Livestock Farmers,-,6-
-,-,452092,6330,6,Subsistence Mixed Crop and Livestock Farmers,-,6-
-,-,452093,6330,6,Subsistence Mixed Crop and Livestock Farmers,-,6-
Fishers and Related Fishing Workers,0.82,453011,6340,6,"Subsistence Fishers, Hunters, Trappers, and Gatherers",T,6T
"Hunters and Trappers, label 0",0.77,453021,6340,6,"Subsistence Fishers, Hunters, Trappers, and Gatherers",T,6T
Construction Managers,0.071,119021,7111,7,House Builders -Insurance,K,7K
Construction Managers,0.071,119021,7111,7,House Builders - Real Estate,L,7L
Construction Managers,0.071,119021,7111,7,House Builders,T,7T
Construction Managers,0.071,119021,7111,7,House Builders,F,7F
Brick masons and Block mason,0.82,472021,7112,7,Bricklayers and Related Workers,F,7F
"Refractory Materials Repairers, Except Brick mason",0.82,499045,7112,7,Bricklayers and Related Workers,F,7F
Stonemasons,0.89,472022,7113,7,"Stonemasons, Stone Cutters, Splitters, Carvers",F,7F
Segmental Pavers,0.83,474091,7113,7,"Stonemasons, Stone Cutters, Splitters, Carvers",F,7F
Cement Masons and Concrete Finishers,0.94,472051,7114,7,"Concrete Placers, Concrete Finishers and Related Workers",F,7F
Terrazzo Workers and Finishers,0.88,472053,7114,7,"Concrete Placers, Concrete Finishers and Related Workers",F,7F
Segmental Pavers,0.83,474091,7114,7,"Concrete Placers, Concrete Finishers and Related Workers",F,7F
Carpenters,0.72,472031,7115,7,Carpenters and Joiners,F,7F
-,-,472231,7119,7,Building Frame and Related Trades Workers Not Elsewhere Classified,-,7-
Fence Erectors,0.92,474031,7119,7,Building Frame and Related Trades Workers Not Elsewhere Classified,E,7E
Hazardous Material Remover Workers,0.53,474041,7119,7,Building Frame and Related Trades Workers Not Elsewhere Classified,E,7E
-,-,474099,7119,7,Building Frame and Related Trades Workers Not Elsewhere Classified,-,7-
Manufactured Building and Mobile Home Installers,0.18,499095,7119,7,Building Frame and Related Trades Workers Not Elsewhere Classified,F,7F
Roofers,0.9,472181,7121,7,Roofers,F,7F
Carpet Installers,0.87,472041,7122,7,Floor Layers and Tile Setters,F,7F
"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.79,472042,7122,7,Floor Layers and Tile Setters,F,7F
Floor Sanders and Finishers,0.87,472043,7122,7,Floor Layers and Tile Setters,F,7F
Tile and Marble Setters,0.75,472044,7122,7,Floor Layers and Tile Setters,F,7F
Drywall and Ceiling Tile Installers,0.79,472081,7123,7,Plasterers,F,7F
Tapers,0.62,472082,7123,7,Plasterers,F,7F
Plasterers and Stucco Masons,0.84,472161,7123,7,Plasterers,F,7F
"Insulation Workers, Floor, Ceiling, and Wall",0.83,472131,7124,7,Insulation Workers,F,7F
"Insulation Workers, Mechanical",0.64,472132,7124,7,Insulation Workers,F,7F
Glaziers,0.73,472121,7125,7,Glaziers,F,7F
Pipelayers,0.62,472151,7126,7,Plumbers and Pipe Fitters,F,7F
"Plumbers, Pipefitters, and Steamfitters, label 0",0.35,472152,7126,7,Plumbers and Pipe Fitters,F,7F
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7127,7,Air Conditioning and Refrigeration Mechanics,D,7D
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.65,499021,7127,7,Air Conditioning and Refrigeration Mechanics,D,7D
"Painters, Construction and Maintenance",0.75,472141,7131,7,Painters and Related Workers,F,7F
Paperhangers,0.87,472142,7131,7,Painters and Related Workers,F,7F
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.91,519121,7132,7,Spray Painters and Varnishes,F,7F
"Painters, Transportation Equipment",0.69,519122,7132,7,Spray Painters and Varnishes,F,7F
-,-,372019,7133,7,Building Structure Cleaners,-,7-
Foundry Mold and Coremakers,0.67,514071,7211,7,Metal Moulders and Coremakers,F,7F
"Molding, Core making, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.95,514072,7211,7,Metal Moulders and Coremakers,F,7F
"Welders, Cutters, Solderers, and Brazers",0.94,514121,7212,7,Welders and Flame Cutters,F,7F
"Welding, Soldering, Brazing Machine Setters, Operators, and Tenders",0.61,514122,7212,7,Welders and Flame Cutters,F,7F
Boilermakers,0.68,472011,7213,7,Sheet Metal Workers,F,7F
"Sheet Metal Workers, label 1",0.82,472211,7213,7,Sheet Metal Workers,F,7F
"Layout Workers, Metal and Plastic",0.84,514192,7213,7,Sheet Metal Workers,F,7F
Reinforcing Iron and Rebar Workers,0.9,472171,7214,7,Structural Metal Preparers and Erectors,F,7F
Structural Iron and Steel Workers,0.83,472221,7214,7,Structural Metal Preparers and Erectors,F,7F
Structural Metal Fabricators and Fitters,0.41,512041,7214,7,Structural Metal Preparers and Erectors,F,7F
Riggers,0.89,499096,7215,7,Riggers and Cable Splicers,F,7F
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,514022,7221,7,"Blacksmiths, Hammersmiths and Forging Press Workers",F,7F
-,-,514199,7221,7,"Blacksmiths, Hammersmiths and Forging Press Workers",-,7-
Locksmiths and Safe Repairers,0.77,499094,7222,7,Toolmakers and Related Workers,C,7C
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.36,514012,7222,7,Toolmakers and Related Workers,C,7C
"Model Makers, Metal and Plastic",0.93,514061,7222,7,Toolmakers and Related Workers,C,7C
"Patternmakers, Metal and Plastic",0.9,514062,7222,7,Toolmakers and Related Workers,C,7C
Tool and Die Makers,0.84,514111,7222,7,Toolmakers and Related Workers,C,7C
"Layout Workers, Metal and Plastic",0.84,514192,7222,7,Toolmakers and Related Workers,C,7C
"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.86,514011,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.91,514021,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,514022,7223,7,Metal Working Machine Tool Setters and Operators,H,7H
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,514022,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.83,514023,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.78,514031,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.94,514032,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.95,514033,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.84,514034,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Milling and Planning Machine Setters, Operators, and Tenders, Metal and Plastic",0.98,514035,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
Machinists,0.65,514041,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.91,514081,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
-,-,514199,7223,7,Metal Working Machine Tool Setters and Operators,C,7C
"Tool Grinders, Filers, and Sharpeners",0.88,514194,7224,7,"Metal Polishers, Wheel Grinders and Tool Sharpeners",C,7C
"Grinding and Polishing Workers, Hand",0.97,519022,7224,7,"Metal Polishers, Wheel Grinders and Tool Sharpeners",C,7C
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Automotive Body and Related Repairers,0.91,493021,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Automotive Glass Installers and Repairers,0.55,493022,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Automotive Service Technicians and Mechanics,0.59,493023,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Bus and Truck Mechanics and Diesel Engine Specialists,0.73,493031,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Motorboat Mechanics and Service Technicians,0.66,493051,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Motorcycle Mechanics,0.79,493052,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Outdoor Power Equipment and Other Small Engine Mechanics,0.93,493053,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Recreational Vehicle Service Technicians,0.59,493092,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
Tire Repairers and Changers,0.7,493093,7231,7,Motor Vehicle Mechanics and Repairers,G,7G
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7232,7,Aircraft Engine Mechanics and Repairers,C,7C
Aircraft Mechanics and Service Technicians,0.71,493011,7232,7,Aircraft Engine Mechanics and Repairers,C,7C
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
Farm Equipment Mechanics and Service Technicians,0.75,493041,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
"Mobile Heavy Equipment Mechanics, Except Engines",0.4,493042,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
Rail Car Repairers,0.88,493043,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
Industrial Machinery Mechanics,0.67,499041,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
"Maintenance Workers, Machinery",0.86,499043,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers - Traiing,P,7P
"Maintenance Workers, Machinery",0.86,499043,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
Millwrights,0.59,499044,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
"Refractory Materials Repairers, Except Brick mason",0.82,499045,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
-,-,499081,7233,7,Agricultural and Industrial Machinery Mechanics and Repairers,C,7C
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7234,7,Bicycle and Related Repairers,G,7G
Bicycle Repairers,0.94,493091,7234,7,Bicycle and Related Repairers,G,7G
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7311,7,Precision-instrument Makers and Repairers,S,7S
Camera and Photographic Equipment Repairers,0.97,499061,7311,7,Precision-instrument Makers and Repairers,S,7S
Medical Equipment Repairers,0.27,499062,7311,7,Precision-instrument Makers and Repairers,S,7S
Watch Repairers,0.99,499064,7311,7,Precision-instrument Makers and Repairers,S,7S
-,-,499069,7311,7,Precision-instrument Makers and Repairers,S,7S
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7312,7,Musical Instrument Makers and Tuners,S,7S
Musical Instrument Repairers and Tuners,0.91,499063,7312,7,Musical Instrument Makers and Tuners,S,7S
Jewellers and Precious Stone and Metal Workers,0.95,519071,7313,7,Jewellery and Precious Metal Workers,C,7C
Craft Artists,0.035,271012,7314,7,Potters and Related Workers,C,7C
"Molders, Shapers, and Casters, Except Metal and Plastic",0.9,519195,7314,7,Potters and Related Workers,C,7C
"Grinding and Polishing Workers, Hand",0.97,519022,7315,7,"Glass Makers, Cutters, Grinders and Finishers",C,7C
"Cutters and Trimmers, Hand",0.64,519031,7315,7,"Glass Makers, Cutters, Grinders and Finishers",C,7C
"Molders, Shapers, and Casters, Except Metal and Plastic",0.9,519195,7315,7,"Glass Makers, Cutters, Grinders and Finishers",C,7C
"Painting, Coating, and Decorating Workers",0.92,519123,7316,7,"Sign writers, Decorative Painters, Engravers and Etchers",M,7M
Etchers and Engravers,0.98,519194,7316,7,"Sign writers, Decorative Painters, Engravers and Etchers",M,7M
Craft Artists,0.035,271012,7317,7,"Handicraft Workers in Wood, Basketry and Related Materials",R,7R
-,-,517099,7317,7,"Handicraft Workers in Wood, Basketry and Related Materials",R,7R
Shoe and Leather Workers and Repairers,0.52,516041,7318,7,"Handicraft Workers Textile, Leather and Related Materials",S,7S
Craft Artists,0.035,271012,7319,7,Handicraft Workers Not Elsewhere Classified,R,7R
Desktop Publishers,0.16,439031,7321,7,Pre-press Technicians,N,7N
Prepress Technicians and Workers,0.97,515111,7321,7,Pre-press Technicians,N,7N
Printing Press Operators,0.83,515112,7322,7,Printers,C,7C
Print Binding and Finishing Workers,0.95,515113,7323,7,Print Finishing and Binding Workers,C,7C
Electricians,0.15,472111,7411,7,Building and Related Electricians,D,7D
-,-,472231,7411,7,Building and Related Electricians,D,7D
Elevator Installers and Repairers,0.39,474021,7412,7,Electrical Mechanics and Fitters,D,7D
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7412,7,Electrical Mechanics and Fitters,D,7D
"Electric Motor, Power Tool, and Related Repairers",0.76,492092,7412,7,Electrical Mechanics and Fitters,D,7D
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,492093,7412,7,Electrical Mechanics and Fitters,D,7D
"Electrical and Electronic Repairers, Commercial and Industrial Equipment",0.41,492094,7412,7,Electrical Mechanics and Fitters,D,7D
"Electrical and Electronics Repairers, Powerhouse, Substation and Relay",0.38,492095,7412,7,Electrical Mechanics and Fitters,D,7D
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.61,492096,7412,7,Electrical Mechanics and Fitters,D,7D
Security and Fire Alarm Systems Installers,0.82,492098,7412,7,Electrical Mechanics and Fitters,D,7D
Outdoor Power Equipment and Other Small Engine Mechanics,0.93,493053,7412,7,Electrical Mechanics and Fitters,D,7D
Mechanical Door Repairers,0.91,499011,7412,7,Electrical Mechanics and Fitters,D,7D
"Control and Valve Installers and Repairers, Except Mechanical Door",0.63,499012,7412,7,Electrical Mechanics and Fitters,D,7D
Home Appliance Repairers,0.72,499031,7412,7,Electrical Mechanics and Fitters,D,7D
Signal and Track Switch Repairers,0.9,499097,7412,7,Electrical Mechanics and Fitters,D,7D
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7413,7,Electrical Line Installers and Repairers ,D,7D
Electrical Power-Line Installers and Repairers,0.097,499051,7413,7,Electrical Line Installers and Repairers,D,7D
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7421,7,Electronics Mechanics and Servicers,C,7C
"Computer, Automated Teller, and Office Machine Repairers",0.74,492011,7421,7,Electronics Mechanics and Servicers,C,7C
Avionics Technicians,0.7,492091,7421,7,Electronics Mechanics and Servicers,C,7C
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,492093,7421,7,Electronics Mechanics and Servicers,D,7D
"Electrical and Electronic Repairers, Commercial and Industrial Equipment",0.41,492094,7421,7,Electronics Mechanics and Servicers,D,7D
"Electrical and Electronics Repairers, Powerhouse, Substation and Relay",0.38,492095,7421,7,Electronics Mechanics and Servicers,D,7D
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.61,492096,7421,7,Electronics Mechanics and Servicers,G,7G
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,491011,7422,7,Information and Communications Technology Installers and Servicers,C,7C
"Computer, Automated Teller, and Office Machine Repairers",0.74,492011,7422,7,Information and Communications Technology Installers and Servicers,J,7J
"Computer, Automated Teller, and Office Machine Repairers",0.74,492011,7422,7,Information and Communications Technology Installers and Servicers,S,7S
"Radio, Cellular, and Tower Equipment Installers and Repairs",0.93,492021,7422,7,Information and Communications Technology Installers and Servicers,J,7J
"Radio, Cellular, and Tower Equipment Installers and Repairs",0.93,492021,7422,7,Information and Communications Technology Installers and Servicers,S,7S
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.36,492022,7422,7,Information and Communications Technology Installers and Servicers,J,7J
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.36,492022,7422,7,Information and Communications Technology Installers and Servicers,S,7S
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,492093,7422,7,Information and Communications Technology Installers and Servicers,S,7S
Electronic Home Entertainment Equipment Installers and Repairers,0.65,492097,7422,7,Information and Communications Technology Installers and Servicers,S,7S
Telecommunications Line Installers and Repairers,0.49,499052,7422,7,Information and Communications Technology Installers and Servicers,S,7S
Butchers and Meat Cutters,0.93,513021,7511,7,"Butchers, Fishmongers and Related Preparers",C,7C
"Meat, Poultry, and Fish Cutters and Trimmers",0.94,513022,7511,7,"Butchers, Fishmongers and Related Preparers",C,7C
Slaughterers and Meat Packagers ,0.6,513023,7511,7,"Butchers, Fishmongers and Related Preparers",C,7C
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.91,513091,7511,7,"Butchers, Fishmongers and Related Preparers",C,7C
Bakers,0.89,513011,7512,7,"Bakers, Pastry-cooks and Confectionery Makers",I,7I
Food Batch makers,0.7,513092,7513,7,Dairy Products Makers,C,7C
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.88,519012,7513,7,Dairy Products Makers,C,7C
Food Cooking Machine Operators and Tenders,0.61,513093,7514,7,"Fruit, Vegetable and Related Preservers",I,7I
Food Cooking Machine Operators and Tenders,0.61,513093,7514,7,"Fruit, Vegetable and Related Preservers",C,7C
-,-,513099,7514,7,"Fruit, Vegetable and Related Preservers",C,7C
Agricultural Inspectors,0.94,452011,7515,7,Food and Beverage Tasters and Graders,O,7O
"Graders and Sorters, Agricultural Products",0.41,452041,7515,7,Food and Beverage Tasters and Graders,C,7C
"Graders and Sorters, Agricultural Products",0.41,452041,7516,7,Tobacco Preparers and Tobacco Products Makers,C,7C
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.93,519041,7516,7,Tobacco Preparers and Tobacco Products Makers,C,7C
